date,sku_id,demand_units,weekday
2009-12-01,UCI-85123A,261,Tue
2009-12-02,UCI-85123A,750,Wed
2009-12-03,UCI-85123A,359,Thu
2009-12-04,UCI-85123A,179,Fri
2009-12-05,UCI-85123A,96,Sat
2009-12-06,UCI-85123A,206,Sun
2009-12-07,UCI-85123A,408,Mon
2009-12-08,UCI-85123A,1610,Tue
2009-12-09,UCI-85123A,248,Wed
2009-12-10,UCI-85123A,271,Thu
2009-12-11,UCI-85123A,231,Fri
2009-12-12,UCI-85123A,0,Sat
2009-12-13,UCI-85123A,404,Sun
2009-12-14,UCI-85123A,239,Mon
2009-12-15,UCI-85123A,357,Tue
2009-12-16,UCI-85123A,178,Wed
2009-12-17,UCI-85123A,390,Thu
2009-12-18,UCI-85123A,106,Fri
2009-12-19,UCI-85123A,0,Sat
2009-12-20,UCI-85123A,24,Sun
2009-12-21,UCI-85123A,116,Mon
2009-12-22,UCI-85123A,12,Tue
2009-12-23,UCI-85123A,0,Wed
2009-12-24,UCI-85123A,0,Thu
2009-12-25,UCI-85123A,0,Fri
2009-12-26,UCI-85123A,0,Sat
2009-12-27,UCI-85123A,0,Sun
2009-12-28,UCI-85123A,0,Mon
2009-12-29,UCI-85123A,0,Tue
2009-12-30,UCI-85123A,0,Wed
2009-12-31,UCI-85123A,0,Thu
2010-01-01,UCI-85123A,0,Fri
2010-01-02,UCI-85123A,0,Sat
2010-01-03,UCI-85123A,0,Sun
2010-01-04,UCI-85123A,37,Mon
2010-01-05,UCI-85123A,162,Tue
2010-01-06,UCI-85123A,89,Wed
2010-01-07,UCI-85123A,1193,Thu
2010-01-08,UCI-85123A,214,Fri
2010-01-09,UCI-85123A,0,Sat
2010-01-10,UCI-85123A,78,Sun
2010-01-11,UCI-85123A,34,Mon
2010-01-12,UCI-85123A,105,Tue
2010-01-13,UCI-85123A,89,Wed
2010-01-14,UCI-85123A,374,Thu
2010-01-15,UCI-85123A,162,Fri
2010-01-16,UCI-85123A,0,Sat
2010-01-17,UCI-85123A,157,Sun
2010-01-18,UCI-85123A,106,Mon
2010-01-19,UCI-85123A,251,Tue
2010-01-20,UCI-85123A,244,Wed
2010-01-21,UCI-85123A,92,Thu
2010-01-22,UCI-85123A,614,Fri
2010-01-23,UCI-85123A,0,Sat
2010-01-24,UCI-85123A,103,Sun
2010-01-25,UCI-85123A,169,Mon
2010-01-26,UCI-85123A,219,Tue
2010-01-27,UCI-85123A,411,Wed
2010-01-28,UCI-85123A,176,Thu
2010-01-29,UCI-85123A,137,Fri
2010-01-30,UCI-85123A,0,Sat
2010-01-31,UCI-85123A,270,Sun
2010-02-01,UCI-85123A,106,Mon
2010-02-02,UCI-85123A,167,Tue
2010-02-03,UCI-85123A,193,Wed
2010-02-04,UCI-85123A,190,Thu
2010-02-05,UCI-85123A,42,Fri
2010-02-06,UCI-85123A,0,Sat
2010-02-07,UCI-85123A,29,Sun
2010-02-08,UCI-85123A,209,Mon
2010-02-09,UCI-85123A,23,Tue
2010-02-10,UCI-85123A,54,Wed
2010-02-11,UCI-85123A,198,Thu
2010-02-12,UCI-85123A,51,Fri
2010-02-13,UCI-85123A,0,Sat
2010-02-14,UCI-85123A,51,Sun
2010-02-15,UCI-85123A,194,Mon
2010-02-16,UCI-85123A,139,Tue
2010-02-17,UCI-85123A,141,Wed
2010-02-18,UCI-85123A,113,Thu
2010-02-19,UCI-85123A,45,Fri
2010-02-20,UCI-85123A,0,Sat
2010-02-21,UCI-85123A,37,Sun
2010-02-22,UCI-85123A,104,Mon
2010-02-23,UCI-85123A,149,Tue
2010-02-24,UCI-85123A,312,Wed
2010-02-25,UCI-85123A,196,Thu
2010-02-26,UCI-85123A,75,Fri
2010-02-27,UCI-85123A,0,Sat
2010-02-28,UCI-85123A,93,Sun
2010-03-01,UCI-85123A,118,Mon
2010-03-02,UCI-85123A,88,Tue
2010-03-03,UCI-85123A,214,Wed
2010-03-04,UCI-85123A,141,Thu
2010-03-05,UCI-85123A,68,Fri
2010-03-06,UCI-85123A,0,Sat
2010-03-07,UCI-85123A,213,Sun
2010-03-08,UCI-85123A,285,Mon
2010-03-09,UCI-85123A,166,Tue
2010-03-10,UCI-85123A,176,Wed
2010-03-11,UCI-85123A,79,Thu
2010-03-12,UCI-85123A,100,Fri
2010-03-13,UCI-85123A,0,Sat
2010-03-14,UCI-85123A,42,Sun
2010-03-15,UCI-85123A,98,Mon
2010-03-16,UCI-85123A,180,Tue
2010-03-17,UCI-85123A,146,Wed
2010-03-18,UCI-85123A,167,Thu
2010-03-19,UCI-85123A,139,Fri
2010-03-20,UCI-85123A,0,Sat
2010-03-21,UCI-85123A,766,Sun
2010-03-22,UCI-85123A,118,Mon
2010-03-23,UCI-85123A,391,Tue
2010-03-24,UCI-85123A,78,Wed
2010-03-25,UCI-85123A,123,Thu
2010-03-26,UCI-85123A,394,Fri
2010-03-27,UCI-85123A,0,Sat
2010-03-28,UCI-85123A,80,Sun
2010-03-29,UCI-85123A,470,Mon
2010-03-30,UCI-85123A,87,Tue
2010-03-31,UCI-85123A,149,Wed
2010-04-01,UCI-85123A,194,Thu
2010-04-02,UCI-85123A,0,Fri
2010-04-03,UCI-85123A,0,Sat
2010-04-04,UCI-85123A,0,Sun
2010-04-05,UCI-85123A,0,Mon
2010-04-06,UCI-85123A,71,Tue
2010-04-07,UCI-85123A,140,Wed
2010-04-08,UCI-85123A,128,Thu
2010-04-09,UCI-85123A,121,Fri
2010-04-10,UCI-85123A,0,Sat
2010-04-11,UCI-85123A,449,Sun
2010-04-12,UCI-85123A,112,Mon
2010-04-13,UCI-85123A,123,Tue
2010-04-14,UCI-85123A,42,Wed
2010-04-15,UCI-85123A,143,Thu
2010-04-16,UCI-85123A,30,Fri
2010-04-17,UCI-85123A,0,Sat
2010-04-18,UCI-85123A,398,Sun
2010-04-19,UCI-85123A,201,Mon
2010-04-20,UCI-85123A,70,Tue
2010-04-21,UCI-85123A,83,Wed
2010-04-22,UCI-85123A,159,Thu
2010-04-23,UCI-85123A,128,Fri
2010-04-24,UCI-85123A,0,Sat
2010-04-25,UCI-85123A,55,Sun
2010-04-26,UCI-85123A,180,Mon
2010-04-27,UCI-85123A,238,Tue
2010-04-28,UCI-85123A,358,Wed
2010-04-29,UCI-85123A,185,Thu
2010-04-30,UCI-85123A,94,Fri
2010-05-01,UCI-85123A,0,Sat
2010-05-02,UCI-85123A,65,Sun
2010-05-03,UCI-85123A,0,Mon
2010-05-04,UCI-85123A,137,Tue
2010-05-05,UCI-85123A,187,Wed
2010-05-06,UCI-85123A,434,Thu
2010-05-07,UCI-85123A,200,Fri
2010-05-08,UCI-85123A,0,Sat
2010-05-09,UCI-85123A,95,Sun
2010-05-10,UCI-85123A,142,Mon
2010-05-11,UCI-85123A,72,Tue
2010-05-12,UCI-85123A,179,Wed
2010-05-13,UCI-85123A,581,Thu
2010-05-14,UCI-85123A,59,Fri
2010-05-15,UCI-85123A,0,Sat
2010-05-16,UCI-85123A,72,Sun
2010-05-17,UCI-85123A,103,Mon
2010-05-18,UCI-85123A,294,Tue
2010-05-19,UCI-85123A,262,Wed
2010-05-20,UCI-85123A,219,Thu
2010-05-21,UCI-85123A,241,Fri
2010-05-22,UCI-85123A,0,Sat
2010-05-23,UCI-85123A,139,Sun
2010-05-24,UCI-85123A,92,Mon
2010-05-25,UCI-85123A,209,Tue
2010-05-26,UCI-85123A,184,Wed
2010-05-27,UCI-85123A,300,Thu
2010-05-28,UCI-85123A,75,Fri
2010-05-29,UCI-85123A,0,Sat
2010-05-30,UCI-85123A,94,Sun
2010-05-31,UCI-85123A,0,Mon
2010-06-01,UCI-85123A,29,Tue
2010-06-02,UCI-85123A,75,Wed
2010-06-03,UCI-85123A,156,Thu
2010-06-04,UCI-85123A,92,Fri
2010-06-05,UCI-85123A,0,Sat
2010-06-06,UCI-85123A,193,Sun
2010-06-07,UCI-85123A,609,Mon
2010-06-08,UCI-85123A,99,Tue
2010-06-09,UCI-85123A,384,Wed
2010-06-10,UCI-85123A,130,Thu
2010-06-11,UCI-85123A,243,Fri
2010-06-12,UCI-85123A,0,Sat
2010-06-13,UCI-85123A,131,Sun
2010-06-14,UCI-85123A,23,Mon
2010-06-15,UCI-85123A,129,Tue
2010-06-16,UCI-85123A,148,Wed
2010-06-17,UCI-85123A,112,Thu
2010-06-18,UCI-85123A,72,Fri
2010-06-19,UCI-85123A,0,Sat
2010-06-20,UCI-85123A,102,Sun
2010-06-21,UCI-85123A,240,Mon
2010-06-22,UCI-85123A,90,Tue
2010-06-23,UCI-85123A,27,Wed
2010-06-24,UCI-85123A,39,Thu
2010-06-25,UCI-85123A,139,Fri
2010-06-26,UCI-85123A,0,Sat
2010-06-27,UCI-85123A,250,Sun
2010-06-28,UCI-85123A,568,Mon
2010-06-29,UCI-85123A,90,Tue
2010-06-30,UCI-85123A,194,Wed
2010-07-01,UCI-85123A,295,Thu
2010-07-02,UCI-85123A,47,Fri
2010-07-03,UCI-85123A,0,Sat
2010-07-04,UCI-85123A,15,Sun
2010-07-05,UCI-85123A,122,Mon
2010-07-06,UCI-85123A,157,Tue
2010-07-07,UCI-85123A,137,Wed
2010-07-08,UCI-85123A,107,Thu
2010-07-09,UCI-85123A,108,Fri
2010-07-10,UCI-85123A,0,Sat
2010-07-11,UCI-85123A,88,Sun
2010-07-12,UCI-85123A,55,Mon
2010-07-13,UCI-85123A,759,Tue
2010-07-14,UCI-85123A,104,Wed
2010-07-15,UCI-85123A,80,Thu
2010-07-16,UCI-85123A,175,Fri
2010-07-17,UCI-85123A,0,Sat
2010-07-18,UCI-85123A,92,Sun
2010-07-19,UCI-85123A,127,Mon
2010-07-20,UCI-85123A,331,Tue
2010-07-21,UCI-85123A,98,Wed
2010-07-22,UCI-85123A,135,Thu
2010-07-23,UCI-85123A,390,Fri
2010-07-24,UCI-85123A,0,Sat
2010-07-25,UCI-85123A,87,Sun
2010-07-26,UCI-85123A,86,Mon
2010-07-27,UCI-85123A,69,Tue
2010-07-28,UCI-85123A,113,Wed
2010-07-29,UCI-85123A,229,Thu
2010-07-30,UCI-85123A,37,Fri
2010-07-31,UCI-85123A,0,Sat
2010-08-01,UCI-85123A,60,Sun
2010-08-02,UCI-85123A,121,Mon
2010-08-03,UCI-85123A,76,Tue
2010-08-04,UCI-85123A,42,Wed
2010-08-05,UCI-85123A,104,Thu
2010-08-06,UCI-85123A,92,Fri
2010-08-07,UCI-85123A,0,Sat
2010-08-08,UCI-85123A,113,Sun
2010-08-09,UCI-85123A,75,Mon
2010-08-10,UCI-85123A,603,Tue
2010-08-11,UCI-85123A,128,Wed
2010-08-12,UCI-85123A,199,Thu
2010-08-13,UCI-85123A,167,Fri
2010-08-14,UCI-85123A,0,Sat
2010-08-15,UCI-85123A,57,Sun
2010-08-16,UCI-85123A,505,Mon
2010-08-17,UCI-85123A,247,Tue
2010-08-18,UCI-85123A,262,Wed
2010-08-19,UCI-85123A,172,Thu
2010-08-20,UCI-85123A,115,Fri
2010-08-21,UCI-85123A,0,Sat
2010-08-22,UCI-85123A,385,Sun
2010-08-23,UCI-85123A,194,Mon
2010-08-24,UCI-85123A,189,Tue
2010-08-25,UCI-85123A,266,Wed
2010-08-26,UCI-85123A,301,Thu
2010-08-27,UCI-85123A,51,Fri
2010-08-28,UCI-85123A,0,Sat
2010-08-29,UCI-85123A,117,Sun
2010-08-30,UCI-85123A,0,Mon
2010-08-31,UCI-85123A,92,Tue
2010-09-01,UCI-85123A,107,Wed
2010-09-02,UCI-85123A,419,Thu
2010-09-03,UCI-85123A,163,Fri
2010-09-04,UCI-85123A,0,Sat
2010-09-05,UCI-85123A,101,Sun
2010-09-06,UCI-85123A,205,Mon
2010-09-07,UCI-85123A,104,Tue
2010-09-08,UCI-85123A,71,Wed
2010-09-09,UCI-85123A,124,Thu
2010-09-10,UCI-85123A,169,Fri
2010-09-11,UCI-85123A,0,Sat
2010-09-12,UCI-85123A,241,Sun
2010-09-13,UCI-85123A,494,Mon
2010-09-14,UCI-85123A,247,Tue
2010-09-15,UCI-85123A,86,Wed
2010-09-16,UCI-85123A,31,Thu
2010-09-17,UCI-85123A,131,Fri
2010-09-18,UCI-85123A,0,Sat
2010-09-19,UCI-85123A,59,Sun
2010-09-20,UCI-85123A,109,Mon
2010-09-21,UCI-85123A,176,Tue
2010-09-22,UCI-85123A,151,Wed
2010-09-23,UCI-85123A,300,Thu
2010-09-24,UCI-85123A,266,Fri
2010-09-25,UCI-85123A,0,Sat
2010-09-26,UCI-85123A,86,Sun
2010-09-27,UCI-85123A,128,Mon
2010-09-28,UCI-85123A,297,Tue
2010-09-29,UCI-85123A,110,Wed
2010-09-30,UCI-85123A,38,Thu
2010-10-01,UCI-85123A,245,Fri
2010-10-02,UCI-85123A,0,Sat
2010-10-03,UCI-85123A,96,Sun
2010-10-04,UCI-85123A,46,Mon
2010-10-05,UCI-85123A,349,Tue
2010-10-06,UCI-85123A,53,Wed
2010-10-07,UCI-85123A,81,Thu
2010-10-08,UCI-85123A,381,Fri
2010-10-09,UCI-85123A,0,Sat
2010-10-10,UCI-85123A,95,Sun
2010-10-11,UCI-85123A,192,Mon
2010-10-12,UCI-85123A,131,Tue
2010-10-13,UCI-85123A,97,Wed
2010-10-14,UCI-85123A,363,Thu
2010-10-15,UCI-85123A,117,Fri
2010-10-16,UCI-85123A,0,Sat
2010-10-17,UCI-85123A,101,Sun
2010-10-18,UCI-85123A,133,Mon
